MES,CODIGO_OBJETIVO,CONFIGURACION,VIAJES_ORIGINADOS,VIAJES_DESCARGADOS,DIFERENCIA,INDICE_CARGUE_DESCARGUE
202412,5051000,3,0,5,-5,0
202412,5051000,3S2,1,0,1,NA
202412,5051000,3S3,4,33,-29,0.12
202412,5051000,CA,0,27,-27,0
202412,5055000,2,3,19,-16,0.16
202412,5055000,3,0,13,-13,0
202412,5055000,CA,0,3,-3,0
202412,5059000,2,8,116,-108,0.07
202412,5059000,2S2,0,23,-23,0
202412,5059000,2S3,1,4,-3,0.25
202412,5059000,3,0,2,-2,0
202412,5059000,3S3,1,4,-3,0.25
202412,5059000,CA,1,45,-44,0.02
202412,5059002,2,0,2,-2,0
202412,5079000,2,1890,1110,780,1.7
202412,5079000,2B1,1,0,1,NA
202412,5079000,2R2,4,2,2,2
202412,5079000,2S2,396,64,332,6.19
202412,5079000,2S3,25,38,-13,0.66
202412,5079000,3,252,150,102,1.68
202412,5079000,3S1,9,0,9,NA
202412,5079000,3S2,154,143,11,1.08
202412,5079000,3S3,1067,838,229,1.27
202412,5079000,4,5,2,3,2.5
202412,5079000,CA,84,611,-527,0.14
202412,5079000,V3,0,3,-3,0
202412,5079001,2,16,3,13,5.33
202412,5079001,2S2,4,0,4,NA
202412,5079001,2S3,4,0,4,NA
202412,5079001,3S3,3,3,0,1
202412,5079001,CA,12,7,5,1.71
202412,5086000,2,16,31,-15,0.52
202412,5086000,2S2,0,5,-5,0
202412,5086000,3,0,12,-12,0
202412,5086000,CA,0,15,-15,0
202412,5086000,V3,0,7,-7,0
202412,5086004,2,0,1,-1,0
202412,5088000,2,2575,3652,-1077,0.71
202412,5088000,2S2,111,265,-154,0.42
202412,5088000,2S3,32,76,-44,0.42
202412,5088000,3,215,246,-31,0.87
202412,5088000,3S2,66,163,-97,0.4
202412,5088000,3S3,1833,2526,-693,0.73
202412,5088000,4,54,11,43,4.91
202412,5088000,CA,2520,1352,1168,1.86
202412,5088000,V2,0,7,-7,0
202412,5088000,V3,372,66,306,5.64
202412,5088012,2S3,0,1,-1,0
202412,5088013,2,0,9,-9,0
202412,5088013,3S3,0,2,-2,0
202412,5091000,2,35,11,24,3.18
202412,5091000,3,0,11,-11,0
202412,5091000,3S3,2,14,-12,0.14
202412,5091000,CA,0,5,-5,0
202412,5093000,2,2,23,-21,0.09
202412,5093000,3,2,1,1,2
202412,5093000,3S3,29,44,-15,0.66
202412,5093000,CA,0,6,-6,0
202412,5093000,V2,0,1,-1,0
202412,5093000,V3,0,1,-1,0
202412,5093001,2,0,3,-3,0
202412,5093001,3,33,4,29,8.25
202412,5101000,2,109,176,-67,0.62
202412,5101000,2S2,1,0,1,NA
202412,5101000,3,0,3,-3,0
202412,5101000,3S3,37,56,-19,0.66
202412,5101000,4,11,0,11,NA
202412,5101000,CA,71,56,15,1.27
202412,5101007,3S2,0,1,-1,0
202412,5107000,2,5,15,-10,0.33
202412,5107000,3,1,1,0,1
202412,5107000,3S2,0,3,-3,0
202412,5107000,CA,1,2,-1,0.5
202412,5113000,2,20,100,-80,0.2
202412,5113000,2S2,0,1,-1,0
202412,5113000,2S3,0,1,-1,0
202412,5113000,3,4,39,-35,0.1
202412,5113000,3S2,3,56,-53,0.05
