MES,RUTA_CONFIGURACION,VALOR_MERCADO,UTILIZACION_MERCADO,NUM_VIAJES_MERCADO,VALOR_REMESAS,UTILIZACION_REMESAS,NUM_VIAJES_REMESAS, VALOR_PROMEDIO_MERCADO ,RUTA_ANALISIS,CONFIGURACION_ANALISIS,CODIGO_ORIGEN,CODIGO_DESTINO
202501,11001000-15764000-3S3,1900000,0.823529412,1,1900000,0.82,2,2014000,11001000-15764000,3S3,11001000,15764000
202501,11001000-15806000-2S3,1035000,0.797277778,2,NA,NA,NA,1097100,11001000-15806000,2S3,11001000,15806000
202501,11001000-15806000-3,2000000,1,1,2000000,1,1,2120000,11001000-15806000,3,11001000,15806000
202501,11001000-15806000-3S3,1405282.83,0.925645258,4,1676629,0.983333333,21,1662175.964,11001000-15806000,3S3,11001000,15806000
202501,11001000-15837000-3S2,1561166.667,1.096774194,2,1601777.778,1.105555556,9,1680665.333,11001000-15837000,3S2,11001000,15837000
202501,11001000-15837000-3S3,1745184.211,1,2,1703037.801,0.993195876,291,1823090.147,11001000-15837000,3S3,11001000,15837000
202501,11001000-17001000-2S2,1475000,0.573863636,4,2130333.333,0.523333333,3,1980292,11001000-17001000,2S2,11001000,17001000
202501,11001000-17001000-2S3,2283333.333,0.592592593,3,2283333.333,0.59,3,2420333.333,11001000-17001000,2S3,11001000,17001000
202501,11001000-17001000-3,2219000,0.916666667,6,2156866.667,0.959333333,15,2312623.2,11001000-17001000,3,11001000,17001000
202501,11001000-17001000-3S2,1691062.5,0.628352919,4,3416625,0.84,2,2889984,11001000-17001000,3S2,11001000,17001000
202501,11001000-17001000-3S3,3002114.885,0.78340983,11,3696448,0.822315789,95,3623837.639,11001000-17001000,3S3,11001000,17001000
202501,11001000-17174000-2S2,4200000,1,1,4200000,1,1,4452000,11001000-17174000,2S2,11001000,17174000
202501,11001000-17380000-3,2570000,0.9375,1,2570000,0.94,1,2724200,11001000-17380000,3,11001000,17380000
202501,11001000-17380000-3S2,3750000,0.774193548,1,3750000,0.775,2,3975000,11001000-17380000,3S2,11001000,17380000
202501,11001000-17380000-3S3,3189497.667,0.748687671,3,3899584,0.736666667,3,3832482.435,11001000-17380000,3S3,11001000,17380000
202501,11001000-18001000-2S2,3350000,0.681818182,1,3350000,0.34,2,3551000,11001000-18001000,2S2,11001000,18001000
202501,11001000-18001000-3,3399852,1.0625,3,3399852,0.996666667,3,3603843.12,11001000-18001000,3,11001000,18001000
202501,11001000-18001000-3S3,4063252.833,0.832423181,3,6224807.25,0.8925,8,5681796.612,11001000-18001000,3S3,11001000,18001000
202501,11001000-19001000-2S2,3362500,0.704545455,4,3360000,0.69,5,3562660,11001000-19001000,2S2,11001000,19001000
202501,11001000-19001000-2S3,3400000,0.5,2,3400000,0.5,2,3604000,11001000-19001000,2S3,11001000,19001000
202501,11001000-19001000-3S3,2965033.333,0.908088235,3,4447550,0.91,2,4085815.933,11001000-19001000,3S3,11001000,19001000
202501,11001000-19142000-3S3,3205000,0.850745098,5,3875000,0.953333333,3,3823420,11001000-19142000,3S3,11001000,19142000
202501,11001000-19256018-3S3,1000000,1.029411765,1,1069000,1.03,1,1103884,11001000-19256018,3S3,11001000,19256018
202501,11001000-19300000-2S2,2500000,0.681818182,1,NA,NA,NA,2650000,11001000-19300000,2S2,11001000,19300000
202501,11001000-19450019-3,6000000,0.9375,1,NA,NA,NA,6360000,11001000-19450019,3,11001000,19450019
202501,11001000-19548000-2S3,3700000,0.548148148,1,3700000,0.55,1,3922000,11001000-19548000,2S3,11001000,19548000
202501,11001000-19573000-2S2,2900000,0.772727273,2,2933333.333,0.76,3,3095200,11001000-19573000,2S2,11001000,19573000
202501,11001000-19573000-2S3,3258000,0.777777778,3,3311666.667,0.813333333,6,3487612,11001000-19573000,2S3,11001000,19573000
202501,11001000-19573000-3S2,1950000,0.903225806,2,3900000,1.1,1,3307200,11001000-19573000,3S2,11001000,19573000
202501,11001000-19573000-3S3,3600923.077,0.880392157,5,3520468.75,0.726875,32,3765809.51,11001000-19573000,3S3,11001000,19573000
202501,11001000-19698000-2S2,2574000,0.636363636,1,2574000,0.64,1,2728440,11001000-19698000,2S2,11001000,19698000
202501,11001000-19698000-2S3,2800000,0.62962963,1,2800000,0.63,1,2968000,11001000-19698000,2S3,11001000,19698000
202501,11001000-19698000-3S3,2738711.111,0.780367647,3,4066000,1,2,3747189.511,11001000-19698000,3S3,11001000,19698000
202501,11001000-19780000-3,2000000,0.75,1,2000000,0.75,1,2120000,11001000-19780000,3,11001000,19780000
202501,11001000-20001000-2S2,3797555.556,0.667424242,6,4688000,0.55375,8,4591731.556,11001000-20001000,2S2,11001000,20001000
202501,11001000-20001000-2S3,4789041.667,0.647067901,4,4805250,0.61,8,5086692.667,11001000-20001000,2S3,11001000,20001000
202501,11001000-20001000-3,4300000,0.84375,2,4539000,0.743333333,3,4710004,11001000-20001000,3,11001000,20001000
202501,11001000-20001000-3S2,2620582.083,0.920849462,4,5291197,0.916,5,4476328.095,11001000-20001000,3S2,11001000,20001000
202501,11001000-20001000-3S3,6176097.911,0.778987054,12,6320159.106,0.755106383,47,6638286.706,11001000-20001000,3S3,11001000,20001000
202501,11001000-20011000-3,2900000,0.59375,1,2900000,0.59,2,3074000,11001000-20011000,3,11001000,20011000
202501,11001000-20011000-3S2,3962183.905,0.566045812,1,3983748.211,0.582631579,19,4213629.838,11001000-20011000,3S2,11001000,20011000
202501,11001000-20011000-3S3,2346000,0.883612745,2,4692000,1,1,3978816,11001000-20011000,3S3,11001000,20011000
202501,11001000-20060000-2S2,5000000,0.636363636,1,5000000,0.64,1,5300000,11001000-20060000,2S2,11001000,20060000
202501,11001000-20060000-3S3,5600000,1,1,5600000,1,1,5936000,11001000-20060000,3S3,11001000,20060000
